login,org
Jonathanboliveira,ps-data-platform;ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;pagtrail;ps-store;registra-seguro;ps-mobileappchannel;ps-servicedeskchannel;pagseguro-tilix;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-infra;ps-acquirer;ps-apichannel;ps-yami;ps-customer;ps-poschannel;ps-psp;developer-productivity;pagseguro-core;ps-balance-cards;ps-commerce;ps-crossborder
joseramia,ps-data-platform;ps-corp-platform;ps-acquirer;ps-psp;pagseguro-core
JudilsonCosta,ps-data-platform;ps-bank;ps-wallet;ps-third-party-services;ps-corp-platform;ps-customer;developer-productivity;pagseguro-core
julianalduque,ps-data-platform;ps-corp-platform;ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
kendirodrigo,ps-data-platform;ps-corp-platform
klauber82,ps-data-platform
lbxavier,ps-data-platform
lcaprio,ps-data-platform;ps-corp-platform
lefarias,ps-data-platform;ps-digital-payments;pagbank;ps-mobileappchannel;ps-corp-platform;ps-acquirer;ps-customer;ps-poschannel;ps-psp;developer-productivity;pagseguro-core
leohoc,ps-data-platform;ps-corp-platform;ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
lgouveia-pagseguro,ps-data-platform;ps-web-channel;ps-corp-platform
lipaula,ps-data-platform;ps-bank;ps-store;ps-web-channel;ps-corp-platform;ps-customer;ps-psp;developer-productivity;pagseguro-core
lucianofalmeida,ps-data-platform;ps-customer
luizgutierrez,ps-data-platform;ps-store;ps-servicedeskchannel;ps-corp-platform;ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
lvolfe,ps-data-platform;ps-web-channel;ps-customer;developer-productivity;pagseguro-core
malemos,ps-data-platform;ps-corp-platform
MarlosRP,ps-data-platform;ps-acquirer;ps-psp;developer-productivity;pagseguro-core
matheusmessora,ps-data-platform;ps-corp-platform;ps-psp;developer-productivity;pagseguro-core
matignacio,ps-data-platform;ps-bank;ps-customer
maxavierpags,ps-data-platform;ps-bank;ps-corp-platform
mbrandaopags,ps-data-platform;ps-infra;ps-psp
mbtonin,ps-data-platform;ps-corp-platform;ps-customer
mcl085,ps-data-platform;registra-seguro;ps-corp-platform;ps-customer;ps-psp;developer-productivity
mdcoliveira,ps-data-platform;ps-corp-platform
miaraujo,ps-data-platform;ps-financial-services;ps-corp-platform
mktfgomes,ps-data-platform
mmarchiore,ps-data-platform
mrit,ps-data-platform;ps-digital-payments;ps-wallet;ps-financial-services;ps-store;ps-web-channel;ps-corp-platform;ps-psp;developer-productivity;pagseguro-core
pagsdataplatform,ps-data-platform
palomabareli,ps-data-platform;ps-corp-platform;ps-customer;pagseguro-core
paulogoncalo,ps-data-platform;ps-financial-services;ps-corp-platform;ps-acquirer;ps-customer;ps-psp;pagseguro-core
PedraoFerreira,ps-data-platform;ps-store;ps-web-channel;ps-corp-platform;ps-customer;pagseguro-core
ps-cbsantos,ps-data-platform;ps-corp-platform
ps-datascience,ps-data-platform;ps-corp-platform;ps-customer
ps-josesouza,ps-data-platform;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer;ps-psp;developer-productivity;pagseguro-core
ps-rodsilva,ps-data-platform;ps-store;ps-web-channel;ps-corp-platform;ps-infra;ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
pshigematsu,ps-data-platform;ps-bank;ps-customer
r0b1s0ng4rc14,ps-data-platform;ps-bank;ps-financial-services;registra-seguro;ps-corp-platform;ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
rafachr,ps-data-platform;ps-digital-payments
rafaluchetta,ps-data-platform
RaizaBatista,ps-data-platform;pagbank
rbarcelarrodrigues,ps-data-platform;ps-digital-payments;ps-financial-services;ps-store;ps-third-party-services;ps-corp-platform;ps-acquirer;ps-apichannel;ps-customer;ps-psp;pagseguro-core
rbleite21,ps-data-platform;ps-corp-platform
rbloureiro,ps-data-platform;ps-bank;ps-customer
renansmiranda,ps-data-platform;ps-digital-payments;registra-seguro;ps-web-channel;ps-corp-platform;ps-acquirer;ps-psp;developer-productivity
rkleiton,ps-data-platform;ps-financial-services;ps-corp-platform;ps-customer
rlchagas,ps-data-platform
robcastropags,ps-data-platform
rodrigoaragao8,ps-data-platform
rodrigogreg,ps-data-platform;pagbank;ps-corp-platform;ps-customer
romuniz,ps-data-platform;ps-bank;pagbank;ps-mobileappchannel;ps-apichannel
rtreto23,ps-data-platform;ps-corp-platform;ps-customer
s2it-gpires,ps-data-platform;ps-customer;ps-psp;developer-productivity;pagseguro-core
s2itgcoleta,ps-data-platform;ps-servicedeskchannel;ps-web-channel;ps-customer;ps-psp;developer-productivity;pagseguro-core
s2itlpinto,ps-data-platform;ps-servicedeskchannel;ps-customer;ps-psp;developer-productivity;pagseguro-core
sayuri-takeda,ps-data-platform;ps-corp-platform
SerafimPAG,ps-data-platform;ps-corp-platform
sghonaim,ps-data-platform;ps-customer
svcacc-bootstrap,ps-data-platform;ps-rewards;ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;pagtrail;ps-store;registra-seguro;ps-mobileappchannel;ps-servicedeskchannel;pagseguro-tilix;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-infra;ps-acquirer;ps-apichannel;ps-yami;ps-customer;ps-poschannel;ps-psp;developer-productivity;pagseguro-core;ps-balance-cards;ps-commerce;ps-crossborder
svcaccatlantis,ps-data-platform;ps-rewards;ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;pagtrail;ps-store;registra-seguro;ps-mobileappchannel;ps-servicedeskchannel;pagseguro-tilix;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-infra;ps-acquirer;ps-apichannel;ps-yami;ps-customer;ps-poschannel;ps-psp;developer-productivity;pagseguro-core;ps-balance-cards;ps-commerce;ps-crossborder
svcaccgithub,ps-data-platform;ps-rewards;ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;pagtrail;ps-store;registra-seguro;ps-mobileappchannel;ps-servicedeskchannel;pagseguro-tilix;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-infra;ps-acquirer;ps-apichannel;ps-yami;ps-customer;ps-poschannel;ps-psp;developer-productivity;pagseguro-core;ps-balance-cards;ps-commerce;ps-crossborder
svcaccintjenkins,ps-data-platform;ps-rewards;ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;pagtrail;ps-store;registra-seguro;ps-mobileappchannel;ps-servicedeskchannel;pagseguro-tilix;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-infra;ps-acquirer;ps-apichannel;ps-yami;ps-customer;ps-poschannel;ps-psp;developer-productivity;pagseguro-core;ps-balance-cards;ps-commerce;ps-crossborder
svcaccjfrog,ps-data-platform;ps-rewards;ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;pagtrail;ps-store;registra-seguro;ps-mobileappchannel;ps-servicedeskchannel;pagseguro-tilix;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-infra;ps-acquirer;ps-apichannel;ps-yami;ps-customer;ps-poschannel;ps-psp;developer-productivity;pagseguro-core;ps-balance-cards;ps-commerce;ps-crossborder
svcaccjirasdmaz,ps-data-platform;ps-rewards;ps-bank;ps-investments;ps-digital-payments;ps-wallet;ps-financial-services;pagtrail;ps-store;registra-seguro;ps-mobileappchannel;ps-servicedeskchannel;pagseguro-tilix;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-infra;ps-acquirer;ps-apichannel;ps-yami;ps-customer;ps-poschannel;ps-psp;developer-productivity;pagseguro-core;ps-balance-cards;ps-commerce;ps-crossborder
svcaccPagsGithub,ps-data-platform
svcaccpsjenkins,ps-data-platform;ps-rewards;ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;pagtrail;ps-store;registra-seguro;ps-mobileappchannel;ps-servicedeskchannel;pagseguro-tilix;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-infra;ps-acquirer;ps-apichannel;ps-yami;ps-customer;ps-poschannel;ps-psp;developer-productivity;pagseguro-core;ps-balance-cards;ps-commerce;ps-crossborder
svcaccspinnaker,ps-data-platform;ps-rewards;ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;pagtrail;ps-store;registra-seguro;ps-mobileappchannel;ps-servicedeskchannel;pagseguro-tilix;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-infra;ps-acquirer;ps-apichannel;ps-yami;ps-customer;ps-poschannel;ps-psp;developer-productivity;pagseguro-core;ps-balance-cards;ps-commerce;ps-crossborder
talencar-git,ps-data-platform;ps-bank;ps-corp-platform;ps-psp
thaisinaba,ps-data-platform;ps-rewards;ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;pagtrail;ps-store;registra-seguro;ps-mobileappchannel;ps-servicedeskchannel;pagseguro-tilix;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-infra;ps-acquirer;ps-apichannel;ps-yami;ps-customer;ps-poschannel;ps-psp;developer-productivity;pagseguro-core;ps-balance-cards;ps-commerce
thiago-franzini,ps-data-platform;ps-customer;ps-psp;developer-productivity;pagseguro-core
thiagofuda,ps-data-platform;ps-bank;pagbank;ps-store;ps-web-channel;ps-corp-platform;ps-infra;ps-customer;developer-productivity
til-apereira,ps-data-platform;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer;ps-psp;developer-productivity;pagseguro-core
tqi-ibeicker,ps-data-platform;ps-financial-services
tqiltavares,ps-data-platform;ps-bank;pagbank;ps-web-channel;ps-corp-platform;ps-customer;ps-psp;pagseguro-core
tvsandrade,ps-data-platform
valmeida75,ps-data-platform;pagtrail;ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
valteirjuniortilix,ps-data-platform;ps-bank;pagbank;pagseguro-tilix;ps-corp-platform
vicalixto,ps-data-platform;ps-bank;pagbank;pagtrail;ps-store;ps-mobileappchannel;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer;developer-productivity
vinisants,ps-data-platform;ps-customer
VivianDuarte,ps-data-platform;ps-corp-platform;ps-customer;developer-productivity;pagseguro-core
vlollato,ps-data-platform;ps-bank;ps-financial-services;ps-corp-platform;ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
vsammartano,ps-data-platform;ps-bank;pagbank;pagtrail;ps-store;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer;pagseguro-core
wc-andrade,ps-data-platform;ps-bank;pagbank;ps-mobileappchannel;ps-psp;developer-productivity;pagseguro-core;ps-balance-cards
danielsoueid,ps-rewards;pagbank;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer
DemillyFerreiraPag,ps-rewards;pagbank;ps-store;ps-servicedeskchannel;ps-corp-platform;ps-customer
invGlatz,ps-rewards;pagbank;ps-store;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer
MarcioBGomes,ps-rewards
marcusdacoregiopag,ps-rewards;pagbank;ps-store;ps-mobileappchannel;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer;developer-productivity
ps-bruno-nogueira,ps-rewards;pagbank;ps-store;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer;pagseguro-core
acodignotto,ps-bank;pagbank;ps-corp-platform;ps-apichannel;pagseguro-core;ps-balance-cards
aferrenha,ps-bank;ps-digital-payments;ps-financial-services;pagseguro-core
afsborges,ps-bank;ps-digital-payments;pagseguro-core;ps-commerce
agcruzps,ps-bank;ps-wallet;pagseguro-tilix;ps-third-party-services;ps-corp-platform;ps-infra;ps-yami;developer-productivity
ajmarquesps,ps-bank;pagseguro-tilix
akondo-uol,ps-bank;pagbank;ps-mobileappchannel;ps-customer;developer-productivity
alantiel,ps-bank;ps-digital-payments;pagbank;ps-corp-platform;developer-productivity;pagseguro-core;ps-balance-cards
alex-figueredo,ps-bank;pagbank
AlexeiJunior,ps-bank;ps-customer;developer-productivity
alexrodriguesdasilva,ps-bank;ps-wallet;pagtrail;pagseguro-tilix;ps-third-party-services;ps-corp-platform;ps-yami;ps-customer;developer-productivity;pagseguro-core
almoreira10,ps-bank;ps-financial-services;developer-productivity;pagseguro-core
alucianetti,ps-bank;ps-investments;ps-servicedeskchannel;ps-corp-platform;developer-productivity;pagseguro-core
am53gcamargo,ps-bank
amacostapagseguro,ps-bank;ps-investments;pagbank;pagseguro-core
ameiraps,ps-bank;ps-corp-platform;ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
andradedbruno,ps-bank;ps-digital-payments;pagbank;ps-financial-services;ps-servicedeskchannel;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-acquirer;ps-customer;ps-poschannel;ps-psp;developer-productivity;pagseguro-core
andrexavier,ps-bank;ps-customer
andsantops,ps-bank;pagbank;ps-corp-platform;ps-customer;developer-productivity
andvicente,ps-bank;pagbank;ps-corp-platform;pagseguro-core
Aparadisotopaz,ps-bank
arielps,ps-bank;ps-investments;ps-customer;developer-productivity;pagseguro-core
augustoArtur,ps-bank;ps-financial-services;ps-corp-platform;ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
babifcastro,ps-bank;ps-digital-payments;pagbank;ps-customer;pagseguro-core;ps-balance-cards
bonaiva,ps-bank;pagbank;ps-corp-platform;ps-customer;pagseguro-core;ps-balance-cards
brunodonatob,ps-bank;ps-servicedeskchannel;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
BrunoNReis,ps-bank;ps-customer
bturini,ps-bank;ps-investments;ps-digital-payments;ps-wallet;pagbank;ps-financial-services;ps-store;registra-seguro;ps-mobileappchannel;ps-servicedeskchannel;pagseguro-tilix;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-infra;ps-acquirer;ps-apichannel;ps-yami;ps-customer;ps-poschannel;ps-psp;developer-productivity;pagseguro-core;ps-balance-cards;ps-commerce
caio-henrique-uolcorp,ps-bank;ps-corp-platform
caiopapai,ps-bank;ps-digital-payments;pagbank;ps-financial-services;ps-mobileappchannel;ps-web-channel;ps-acquirer;ps-apichannel;ps-customer;pagseguro-core
cendyandreoli,ps-bank;ps-customer;ps-psp;developer-productivity;pagseguro-core
chrisjullian,ps-bank;ps-servicedeskchannel;ps-web-channel;ps-third-party-services;ps-corp-platform;ps-acquirer;ps-customer;pagseguro-core
chuizinho,ps-bank
cin-laugusto,ps-bank;ps-corp-platform;ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
cinramorim,ps-bank;pagseguro-tilix;developer-productivity
cristovao23,ps-bank;ps-customer;developer-productivity
crnascimento,ps-bank;ps-financial-services;ps-servicedeskchannel
davi-sande,ps-bank;pagbank;pagseguro-core;ps-balance-cards
dgosantos89,ps-bank;pagbank;ps-corp-platform;developer-productivity;pagseguro-core
digrande,ps-bank;ps-financial-services;registra-seguro;ps-web-channel;ps-acquirer;ps-apichannel;ps-psp;pagseguro-core
diogoouterelo,ps-bank;ps-wallet;pagbank;ps-financial-services;ps-third-party-services;pagseguro-core
dmendonca1,ps-bank;pagbank;ps-web-channel;ps-corp-platform;ps-customer;developer-productivity;pagseguro-core;ps-balance-cards
dnobitencourt,ps-bank;ps-financial-services;ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
dohenrique,ps-bank;pagbank;ps-customer;developer-productivity
doughertvf,ps-bank;pagbank;ps-financial-services;ps-mobileappchannel;ps-third-party-services;ps-apichannel;ps-customer;developer-productivity;pagseguro-core
dpenaps,ps-bank;ps-investments;ps-web-channel;ps-customer;developer-productivity;pagseguro-core
drdfigueira,ps-bank;pagbank;ps-corp-platform;developer-productivity;pagseguro-core;ps-balance-cards
dribeirops,ps-bank;ps-investments;ps-financial-services;pagseguro-core
dsantos-uol,ps-bank;pagbank;ps-corp-platform;ps-customer;developer-productivity;pagseguro-core
dserafimpag,ps-bank;ps-investments;ps-web-channel;ps-customer;developer-productivity;pagseguro-core
ecampos-ps,ps-bank;ps-customer
ecdfsantos,ps-bank;pagseguro-tilix;ps-corp-platform;developer-productivity
edisleireis,ps-bank;pagbank;ps-financial-services;ps-mobileappchannel;ps-customer;developer-productivity;pagseguro-core
ednaldofranco,ps-bank;pagbank;ps-financial-services;ps-customer;pagseguro-core
eduardohenriquebezerra,ps-bank;ps-investments;pagbank;ps-financial-services;ps-customer;pagseguro-core
efernando-ps,ps-bank;ps-investments;ps-web-channel;ps-customer;pagseguro-core
elaups,ps-bank;pagbank;ps-mobileappchannel;ps-apichannel;developer-productivity;pagseguro-core
eliseusantoss,ps-bank;ps-investments;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer;developer-productivity;pagseguro-core
elvanineto,ps-bank;ps-wallet;ps-corp-platform;ps-yami;developer-productivity
ernanehun,ps-bank;ps-mobileappchannel;ps-customer;developer-productivity;ps-balance-cards
esacramento,ps-bank;ps-digital-payments;pagbank;developer-productivity;pagseguro-core
espaulaps,ps-bank
esrodrigues,ps-bank
eveigaqa,ps-bank;pagbank
ezayaeskoski,ps-bank
fabianotqi,ps-bank;pagbank;ps-customer;developer-productivity
FariasVictorPS,ps-bank;pagbank;ps-corp-platform;ps-psp;pagseguro-core;ps-balance-cards
fcfujimoto,ps-bank;pagbank;ps-customer
felipeCabrini-pag,ps-bank;pagbank;ps-financial-services;ps-mobileappchannel;pagseguro-tilix;ps-corp-platform;ps-customer;ps-psp;developer-productivity;pagseguro-core
felipenehmi,ps-bank;pagbank;developer-productivity
felipepuig2020,ps-bank
felipesilvatqi,ps-bank;ps-customer;developer-productivity
felizi,ps-bank;ps-digital-payments;pagbank;ps-web-channel;ps-corp-platform;ps-customer;pagseguro-core
fernandoerico,ps-bank;pagbank;ps-financial-services;developer-productivity;pagseguro-core
fernandofmendes,ps-bank;ps-digital-payments;ps-mobileappchannel;pagseguro-tilix;ps-third-party-services;ps-corp-platform;ps-yami;developer-productivity
fernandorivolta,ps-bank;pagbank;pagtrail;ps-store;ps-servicedeskchannel;ps-web-channel;ps-corp-platform;ps-customer;developer-productivity
